url,range_name,category,supplier,product_count,thickness,board_size,pack_size_m2,installation_method,warranty_summary,source_url
/ranges/artisan/,Artisan,Hybrid,Artisan,24,,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/artisan-tile/,Artisan Tile,Hybrid,,12,9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,
/ranges/aspire/,Aspire,Hybrid,Aspire,14,,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/avala/,Avala,Hybrid,,10,6.5mm,1524 x 183 or 230 x 6.5mm,,Floating Floor (Licensed Click System),Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,
/ranges/belle-vie/,Belle Vie,Hybrid,,12,7mm,625 x 125 x 7mm,,Floating Floor (Licensed Click System),Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,
/ranges/easi-plank/,Easi Plank,Hybrid,,4,,,,Download Acoustic Test 7.5mm Easi-Plank Hybrid Plank Download Acoustic Test 8mm,Confirm the current solid timber warranty for the selected range before order.,
/ranges/elite-6-0-hybrid/,Elite 6.0 Hybrid,Hybrid,,12,6.0mm,Length 1511mm x Width 229mm,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/etf-7-0mm-hybrid/,ETF 7.0mm Hybrid,Hybrid,,15,7.0mm,1500 mm x 228 mm,,Floating click-lock system,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/etf-8-0mm-hybrid/,ETF 8.0mm Hybrid,Hybrid,,12,8.0mm,1810 mm x 228 mm,,Floating click-lock system,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/etf-9-0mm-hybrid/,ETF 9.0mm Hybrid,Hybrid,,14,9.0mm,Refer to selected colour brochure,,Floating click-lock system,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/etf-hybrid-spc-9mm/,ETF Hybrid SPC 9mm,Hybrid,ETF Hybrid SPC,7,9mm,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/grande-7-5-hybrid/,Grande 7.5 Hybrid,Hybrid,,6,7.5mm,Length 1500mm x Width 230mm,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/grande-9-0-hybrid/,Grande 9.0 Hybrid,Hybrid,,10,9.0mm,1500 x 230 x 9.0mm,,Floating,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/herringbone-7-0-hybrid/,Herringbone 7.0 Hybrid,Hybrid,,6,7.0mm,Length 600mm x Width 150mm,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/hybrid/,Hybrid,Hybrid,Oz Timber Floor,42,,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/hydroplank-wpc/,Hydroplank WPC,Hybrid,Hydroplank,11,,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/iconic-wpc/,Iconic WPC,Hybrid,,1,,,,Download Acoustic Test Iconic Download Fire Test Download Floor Care Download Sp,Confirm the current solid timber warranty for the selected range before order.,
/ranges/kronoswiss-aquastop/,Kronoswiss Aquastop,Hybrid,Kronoswiss,37,8mm,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/lifestyle-collection/,Lifestyle Collection,Hybrid,,1,,,,Download See more of our products Hybrid Flooring Urban Grey Hybrid Flooring Wil,Confirm the current solid timber warranty for the selected range before order.,
/ranges/lumiere-ultra-hd/,Lumiere Ultra HD,Hybrid,,12,7mm,1524 x 230 x 7mm,,Floating Floor (Licensed Click System),Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,
/ranges/luxury-hybrid/,Luxury Hybrid,Hybrid,Luxury Hybrid,16,,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/luxury-hybrid-7mm/,Luxury Hybrid 7mm,Hybrid,,6,7.0mm,1520mm x 230mm,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/luxury-hybrid-8mm/,Luxury Hybrid 8mm,Hybrid,,12,8.0mm,,,Floating floor format,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/luxury-hybrid-9mm/,Luxury Hybrid 9mm,Hybrid,,8,9.0mm,1800mm x 230mm,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/luxury-hybrid-plus-10mm/,Luxury Hybrid PLUS 10mm,Hybrid,,12,10.0mm,,,Floating floor format,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/ornato/,Ornato,Hybrid,Ornato,16,,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/ornato-hybrid/,Ornato Hybrid,Hybrid,Ornato,12,,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/stone-floor/,Stone Floor,Hybrid,Stone Floor,20,,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/storm/,Storm,Hybrid,Storm,12,,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/storm-luxury/,Storm Luxury,Hybrid,,12,7mm,1880 x 225 x 7mm,,Floating Floor (5G Click System),Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,
/ranges/urban-6-5-hybrid/,Urban 6.5 Hybrid,Hybrid,,12,6.5mm,Length 1511mm x Width 229mm,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/xxl-8-0-hybrid/,XXL 8.0 Hybrid,Hybrid,,12,8.0mm,Length 1511mm x Width 229mm,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/aqua-wood-plus-12mm/,Aqua Wood Plus 12mm,Laminate,,24,12.0mm,,,Floating floor format,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/aquastop-laminate/,Aquastop Laminate,Laminate,,1,,,,Aquastop MR Laminate Download Warranty Download Floor Instruction Download Broch,Confirm the current solid timber warranty for the selected range before order.,
/ranges/etf-12mm-laminate/,ETF 12mm Laminate,Laminate,,15,12.0mm,1215mm x 196mm,,Floating click-lock system,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/infinite/,Infinite,Laminate,Infinite,16,,,,Floating click system with suitable underlay,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/oak-step/,Oak Step,Laminate,,10,,,,Floating floor format,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/oak-step-plus/,Oak Step PLUS,Laminate,,10,,,,Floating floor format,Confirm the current supplier warranty for the selected range before ordering.,
