priority,old_url,clicks,impressions,current_redirect_target,candidate_exact_route,candidate_indexability,quality_issues,reviewed_disposition,severity,commercial_exposure,implementation_status,corrected_fields,provenance,unresolved_facts,indexation_decision,redirect_decision,next_evidence,rationale
1,https://oztimberfloor.com.au/product-category/solid-timber/topdeck-pre-finished-solid-timber/,9,901,/ranges/solid/,/ranges/solid/,indexable,indexable,RETAIN_REVIEWED_CURRENT_DESTINATION,HIGH,9 clicks / 901 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,Confirm that the current range/category fallback remains the best semantic replacement; do not index a product page without verified data.,retain current route-level state until the exact protected decision is approved,redirect-range,Confirm that the current range/category fallback remains the best semantic replacement; do not index a product page without verified data.,The legacy range/category resolves to a current range page.
2,https://oztimberfloor.com.au/grand-oak/,8,702,/engineered-timber-flooring-sydney/,/engineered-timber-flooring-sydney/,indexable,unverified,RETAIN_REVIEWED_CURRENT_DESTINATION,HIGH,8 clicks / 702 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,Confirm that the current range/category fallback remains the best semantic replacement; do not index a product page without verified data.,retain current route-level state until the exact protected decision is approved,keep,Confirm that the current range/category fallback remains the best semantic replacement; do not index a product page without verified data.,Maintain the direct redirect to the current equivalent page.
3,https://oztimberfloor.com.au/product/jatoba-brazilian-cherry/,7,330,/ranges/solid/,/products/jatoba-brazilian-cherry/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,HIGH,7 clicks / 330 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product route is incomplete or noindex; preserve product intent through its verified indexable catalogue parent range.
4,https://oztimberfloor.com.au/product/verdura-french-bleed/,7,128,/hardwood-timber-flooring-sydney/,/products/verdura-french-bleed/,missing,unverified,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,HIGH,7 clicks / 128 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",The legacy product currently resolves to a broad category and needs a product-level evidence decision.
5,https://oztimberfloor.com.au/product-category/laminate/infinite-laminate/,6,252,/laminate-flooring-sydney/,/laminate-flooring-sydney/,indexable,unverified,RETAIN_REVIEWED_CURRENT_DESTINATION,HIGH,6 clicks / 252 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,Confirm that the current range/category fallback remains the best semantic replacement; do not index a product page without verified data.,retain current route-level state until the exact protected decision is approved,redirect-category,Confirm that the current range/category fallback remains the best semantic replacement; do not index a product page without verified data.,No publishable exact range is currently established; retain the reviewed category fallback.
6,https://oztimberfloor.com.au/product/solid-raw-timber-american-white-oak/,5,1754,/ranges/raw-solid-timber/,/products/solid-raw-timber-american-white-oak/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,HIGH,5 clicks / 1754 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product route is incomplete or noindex; preserve product intent through its verified indexable catalogue parent range.
7,https://oztimberfloor.com.au/product/kronswiss-aquastop-majestic-walnut/,5,164,/ranges/kronoswiss-aquastop/,/products/kronswiss-aquastop-majestic-walnut/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,HIGH,5 clicks / 164 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
8,https://oztimberfloor.com.au/product/stone-floor-oak-beige/,5,36,/ranges/stone-floor-tile/,/products/stone-floor-oak-beige/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,HIGH,5 clicks / 36 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Stone Floor Tile range.
9,https://oztimberfloor.com.au/product/kempas-red-stain/,4,701,/hybrid-flooring-sydney/,/products/kempas-red-stain/,noindex,empty-or-placeholder-thickness,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,4 clicks / 701 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The closest product or range is not safe to index; retain controlled treatment pending verified data.
10,https://oztimberfloor.com.au/product/storm-royal-white-oak/,4,152,/ranges/storm-luxury/,/products/storm-royal-white-oak/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,4 clicks / 152 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Storm Luxury range.
