route,wordpress_status,wordpress_final_url,wordpress_canonical,local_source,netlify_status,netlify_final_url,netlify_canonical,netlify_x_robots,parity_status,old_main_topic,current_coverage,accuracy_status,commercial_usefulness,action,evidence
/,200,https://oztimberfloor.com.au/,https://oztimberfloor.com.au/,index.html,200,https://oztimberfloor.netlify.app/,https://oztimberfloor.com.au/,"noindex, nofollow",ALIGNED,"broad Sydney flooring supply, installation, preparation, categories and enquiry",local source present; direct Netlify response inspected,NO_CURRENT_DEFECT_REPRODUCED,customer-facing browse/contact path retained,KEEP,2026-09-09 bounded GET plus index.html
/floor-levelling/,200,https://oztimberfloor.com.au/floor-levelling/,https://oztimberfloor.com.au/floor-levelling/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/floor-levelling-sydney,https://oztimberfloor.com.au/floor-levelling-sydney/,"noindex, nofollow",PROTECTED_OWNER_DECISION,Floor levelling,route/redirect evidence only,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,RESTORE_CONTENT_TO_OWNER_AFTER_APPROVAL,2026-09-09 bounded GET plus redirect map
/floor-levelling-sydney/,404,https://oztimberfloor.com.au/floor-levelling-sydney/,,floor-levelling-sydney/index.html,200,https://oztimberfloor.netlify.app/floor-levelling-sydney/,https://oztimberfloor.com.au/floor-levelling-sydney/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,Floor levelling,local source present; direct Netlify response inspected,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,KEEP_CONTENT_PENDING_OWNER_DECISION,2026-09-09 bounded GET plus floor-levelling-sydney/index.html
/hybrid/,200,https://oztimberfloor.com.au/hybrid/,https://oztimberfloor.com.au/hybrid/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/hybrid-flooring-sydney,https://oztimberfloor.com.au/hybrid-flooring-sydney/,"noindex, nofollow",PROTECTED_OWNER_DECISION,Hybrid flooring,route/redirect evidence only,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,RESTORE_CONTENT_TO_OWNER_AFTER_APPROVAL,2026-09-09 bounded GET plus redirect map
/hybrid-flooring-sydney/,404,https://oztimberfloor.com.au/hybrid-flooring-sydney/,,hybrid-flooring-sydney/index.html,200,https://oztimberfloor.netlify.app/hybrid-flooring-sydney/,https://oztimberfloor.com.au/hybrid-flooring-sydney/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,Hybrid flooring,local source present; direct Netlify response inspected,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,KEEP_CONTENT_PENDING_OWNER_DECISION,2026-09-09 bounded GET plus hybrid-flooring-sydney/index.html
/laminate/,200,https://oztimberfloor.com.au/laminate/,https://oztimberfloor.com.au/laminate/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/laminate-flooring-sydney,https://oztimberfloor.com.au/laminate-flooring-sydney/,"noindex, nofollow",PROTECTED_OWNER_DECISION,Laminate flooring,route/redirect evidence only,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,RESTORE_CONTENT_TO_OWNER_AFTER_APPROVAL,2026-09-09 bounded GET plus redirect map
/laminate-flooring-sydney/,404,https://oztimberfloor.com.au/laminate-flooring-sydney/,,laminate-flooring-sydney/index.html,200,https://oztimberfloor.netlify.app/laminate-flooring-sydney/,https://oztimberfloor.com.au/laminate-flooring-sydney/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,Laminate flooring,local source present; direct Netlify response inspected,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,KEEP_CONTENT_PENDING_OWNER_DECISION,2026-09-09 bounded GET plus laminate-flooring-sydney/index.html
/engineered-timber-flooring/,200,https://oztimberfloor.com.au/engineered-timber-flooring/,https://oztimberfloor.com.au/engineered-timber-flooring/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/engineered-timber-flooring-sydney/,https://oztimberfloor.com.au/engineered-timber-flooring-sydney/,"noindex, nofollow",PROTECTED_OWNER_DECISION,Engineered timber,route/redirect evidence only,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,RESTORE_CONTENT_TO_OWNER_AFTER_APPROVAL,2026-09-09 bounded GET plus redirect map
/engineered-timber-flooring-sydney/,404,https://oztimberfloor.com.au/engineered-timber-flooring-sydney/,,engineered-timber-flooring-sydney/index.html,200,https://oztimberfloor.netlify.app/engineered-timber-flooring-sydney/,https://oztimberfloor.com.au/engineered-timber-flooring-sydney/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,Engineered timber,local source present; direct Netlify response inspected,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,KEEP_CONTENT_PENDING_OWNER_DECISION,2026-09-09 bounded GET plus engineered-timber-flooring-sydney/index.html
/timber-floor-installation/,200,https://oztimberfloor.com.au/timber-floor-installation/,https://oztimberfloor.com.au/timber-floor-installation/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/timber-flooring-installation-sydney,https://oztimberfloor.com.au/timber-flooring-installation-sydney/,"noindex, nofollow",PROTECTED_OWNER_DECISION,Installation,route/redirect evidence only,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,RESTORE_CONTENT_TO_OWNER_AFTER_APPROVAL,2026-09-09 bounded GET plus redirect map
