id,slug,url,brand,supplier,supplierSourceUrl,range,rangeSlug,colour,category,shortDescription,thickness,boardSize,packSizeM2,installationMethod,finish,warrantySummary,suitableUse,cautionNotes,stockStatusLabel,primaryImage,altText,galleryStatus,specSheetUrl,wearLayer,coreType,acousticBacking,waterResistance,acRating,edgeDetail,species,totalThickness,structureCore,surfaceFinish,gradeCharacter,boardWidth,rawOrPrefinished,sandingFinishingNotes,plankOrTileFormat,commercialSuitability,sourceTag
artisan-black-maquina,artisan-black-maquina,/products/artisan-black-maquina/,Artisan,Artisan,,Artisan,artisan,Black Maquina,Hybrid,"Artisan Black Maquina is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-black-maquina.webp,Artisan Black Maquina hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-calacatta,artisan-calacatta,/products/artisan-calacatta/,Artisan,Artisan,,Artisan,artisan,Calacatta,Hybrid,"Artisan Calacatta is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-calacatta.webp,Artisan Calacatta hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-casper-white,artisan-casper-white,/products/artisan-casper-white/,Artisan,Artisan,,Artisan,artisan,Casper White,Hybrid,"Artisan Casper White is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-casper-white.webp,Artisan Casper White hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-crema-marfil,artisan-crema-marfil,/products/artisan-crema-marfil/,Artisan,Artisan,,Artisan,artisan,Crema Marfil,Hybrid,"Artisan Crema Marfil is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-crema-marfil.webp,Artisan Crema Marfil hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-dover-grey,artisan-dover-grey,/products/artisan-dover-grey/,Artisan,Artisan,,Artisan,artisan,Dover Grey,Hybrid,"Artisan Dover Grey is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-dover-grey.webp,Artisan Dover Grey hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-grigio,artisan-grigio,/products/artisan-grigio/,Artisan,Artisan,,Artisan,artisan,Grigio,Hybrid,"Artisan Grigio is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-grigio.webp,Artisan Grigio hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-jasper-grey,artisan-jasper-grey,/products/artisan-jasper-grey/,Artisan,Artisan,,Artisan,artisan,Jasper Grey,Hybrid,"Artisan Jasper Grey is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-jasper-grey.webp,Artisan Jasper Grey hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-madison,artisan-madison,/products/artisan-madison/,Artisan,Artisan,,Artisan,artisan,Madison,Hybrid,"Artisan Madison is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-madison.webp,Artisan Madison hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-monaco-brown,artisan-monaco-brown,/products/artisan-monaco-brown/,Artisan,Artisan,,Artisan,artisan,Monaco Brown,Hybrid,"Artisan Monaco Brown is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-monaco-brown.webp,Artisan Monaco Brown hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-pietra-grey,artisan-pietra-grey,/products/artisan-pietra-grey/,Artisan,Artisan,,Artisan,artisan,Pietra Grey,Hybrid,"Artisan Pietra Grey is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-pietra-grey.webp,Artisan Pietra Grey hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-valley-beige,artisan-valley-beige,/products/artisan-valley-beige/,Artisan,Artisan,,Artisan,artisan,Valley Beige,Hybrid,"Artisan Valley Beige is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-valley-beige.webp,Artisan Valley Beige hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-volcano,artisan-volcano,/products/artisan-volcano/,Artisan,Artisan,,Artisan,artisan,Volcano,Hybrid,"Artisan Volcano is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-volcano.webp,Artisan Volcano hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
artisan-tile-black-maquina,artisan-tile-black-maquina,/products/artisan-tile-black-maquina/,,,,Artisan Tile,artisan-tile,Black Maquina,Hybrid,"Artisan Tile Black Maquina is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-black-maquina.webp,Black Maquina hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
artisan-tile-calacatta,artisan-tile-calacatta,/products/artisan-tile-calacatta/,,,,Artisan Tile,artisan-tile,Calacatta,Hybrid,"Artisan Tile Calacatta is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-calacatta.webp,Calacatta hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
artisan-tile-casper-white,artisan-tile-casper-white,/products/artisan-tile-casper-white/,,,,Artisan Tile,artisan-tile,Casper White,Hybrid,"Artisan Tile Casper White is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-casper-white.webp,Casper White hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
artisan-tile-crema-marfil,artisan-tile-crema-marfil,/products/artisan-tile-crema-marfil/,,,,Artisan Tile,artisan-tile,Crema Marfil,Hybrid,"Artisan Tile Crema Marfil is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-crema-marfil.webp,Crema Marfil hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
artisan-tile-dover-grey,artisan-tile-dover-grey,/products/artisan-tile-dover-grey/,,,,Artisan Tile,artisan-tile,Dover Grey,Hybrid,"Artisan Tile Dover Grey is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-dover-grey.webp,Dover Grey hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
artisan-tile-grigio,artisan-tile-grigio,/products/artisan-tile-grigio/,,,,Artisan Tile,artisan-tile,Grigio,Hybrid,"Artisan Tile Grigio is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-grigio.webp,Grigio hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
artisan-tile-jasper-grey,artisan-tile-jasper-grey,/products/artisan-tile-jasper-grey/,,,,Artisan Tile,artisan-tile,Jasper Grey,Hybrid,"Artisan Tile Jasper Grey is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-jasper-grey.webp,Jasper Grey hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
artisan-tile-madison,artisan-tile-madison,/products/artisan-tile-madison/,,,,Artisan Tile,artisan-tile,Madison,Hybrid,"Artisan Tile Madison is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-madison.webp,Madison hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
